08:17:55 [CommandMake][admin][Dios] - (Section: 7, Type: 45, Level: 15, Skill: 0, Luck: 1, Option: 7, Exc: 63, QUANT: 1)
08:21:09 [CommandMake][admin][Dios] - (Section: 12, Type: 14, Level: 0, Skill: 0, Luck: 1, Option: 1, Exc: 0, QUANT: 1)
08:21:31 [CommandMake][admin][Dios] - (Section: 11, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:21:52 [CommandMake][admin][Dios] - (Section: 10, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:21:58 [CommandMake][admin][Dios] - (Section: 1, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:03 [CommandMake][admin][Dios] - (Section: 2, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:08 [CommandMake][admin][Dios] - (Section: 20, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:18 [CommandMake][admin][Dios] - (Section: 20, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:30 [CommandMake][admin][Dios] - (Section: 99, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:43 [CommandMake][admin][Dios] - (Section: 14, Type: 12, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:22:56 [CommandMake][admin][Dios] - (Section: 14, Type: 13, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:05 [CommandMake][admin][Dios] - (Section: 14, Type: 15, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:18 [CommandMake][admin][Dios] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:29 [CommandMake][admin][Dios] - (Section: 14, Type: 22, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:36 [CommandMake][admin][Dios] - (Section: 14, Type: 23, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:43 [CommandMake][admin][Dios] - (Section: 14, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:49 [CommandMake][admin][Dios] - (Section: 14, Type: 25, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:23:55 [CommandMake][admin][Dios] - (Section: 14, Type: 26, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:01 [CommandMake][admin][Dios] - (Section: 14, Type: 27, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:08 [CommandMake][admin][Dios] - (Section: 14, Type: 28, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:14 [CommandMake][admin][Dios] - (Section: 15, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:22 [CommandMake][admin][Dios] - (Section: 11, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:32 [CommandMake][admin][Dios] - (Section: 15, Type: 2, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:24:39 [CommandMake][admin][Dios] - (Section: 16, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:36:36 [CommandMake][admin][Dios] - (Section: 1, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:36:40 [CommandMake][admin][Dios] - (Section: 2, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:09 [CommandMake][admin][Dios] - (Section: 16, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:13 [CommandMake][admin][Dios] - (Section: 17, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:17 [CommandMake][admin][Dios] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:25 [CommandMake][admin][Dios] - (Section: 14, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:32 [CommandMake][admin][Dios] - (Section: 14, Type: 1, Level: 1, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:44 [CommandMake][admin][Dios] - (Section: 14, Type: 99, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:53 [CommandMake][admin][Dios] - (Section: 14, Type: 20, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:37:58 [CommandMake][admin][Dios] - (Section: 14, Type: 25, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:06 [CommandMake][admin][Dios] - (Section: 14, Type: 30, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:11 [CommandMake][admin][Dios] - (Section: 14, Type: 29, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:17 [CommandMake][admin][Dios] - (Section: 14, Type: 28, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:22 [CommandMake][admin][Dios] - (Section: 14, Type: 27, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:27 [CommandMake][admin][Dios] - (Section: 14, Type: 26, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:35 [CommandMake][admin][Dios] - (Section: 15, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:39 [CommandMake][admin][Dios] - (Section: 16, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:43 [CommandMake][admin][Dios] - (Section: 17, Type: 1, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:49 [CommandMake][admin][Dios] - (Section: 16, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:38:55 [CommandMake][admin][Dios] - (Section: 15, Type: 2, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:01 [CommandMake][admin][Dios] - (Section: 15, Type: 10, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:07 [CommandMake][admin][Dios] - (Section: 15, Type: 22, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:12 [CommandMake][admin][Dios] - (Section: 15, Type: 20, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:17 [CommandMake][admin][Dios] - (Section: 15, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:22 [CommandMake][admin][Dios] - (Section: 15, Type: 16, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:29 [CommandMake][admin][Dios] - (Section: 15, Type: 15, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, QUANT: 1)
08:39:58 [CommandDrop][admin][Dios] - (Section: 1, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
08:40:10 [CommandDrop][admin][Dios] - (Section: 5, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
08:40:14 [CommandDrop][admin][Dios] - (Section: 10, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
08:40:19 [CommandDrop][admin][Dios] - (Section: 15, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
08:40:25 [CommandDrop][admin][Dios] - (Section: 17, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
08:43:15 [CommandMake][admin][Dios] - (Section: 8, Type: 32, Level: 15, Skill: 0, Luck: 1, Option: 7, Exc: 63, QUANT: 1)
