07:10:14 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.96, GameServerCode: 0)
07:13:25 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.96, GameServerCode: 0)
07:21:53 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.67, GameServerCode: 0)
07:30:36 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.67, GameServerCode: 0)
07:30:46 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
07:31:25 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
07:33:18 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
07:33:30 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
07:35:03 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
07:35:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
07:42:34 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
07:43:45 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
08:00:35 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
08:00:41 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
08:05:08 [AccountInfo] Account disconnected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
08:05:24 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
08:06:36 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.67, GameServerCode: 0)
08:10:57 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
08:14:34 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
08:59:25 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
