00:57:30 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
00:59:08 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
01:22:11 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
01:22:23 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
01:29:32 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
02:03:43 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
03:35:33 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
15:54:09 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
15:54:15 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:02:25 [AccountInfo] Account disconnected by clear (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:03:05 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:05:24 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:17:35 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:20:29 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:22:13 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:22:52 [AccountInfo] Account disconnected by clear (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:23:32 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:25:58 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:35:32 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:35:40 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
16:54:51 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:39:01 [AccountInfo] Account disconnected by clear (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:39:41 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:44:17 [AccountInfo] Account disconnected by clear (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:45:48 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:52:27 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
19:52:32 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
20:08:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
20:08:48 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
21:05:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
21:05:55 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
21:31:11 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
21:33:33 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
